,track_id,track_name,release_date,artist_id,artist_name,popularity,followers,record_label,danceability,energy,valence,tempo,tempo_adjusted,year
2665,2vgUijXOTRMnWXDtvgMp2b,Take My Breath,2022-01-06,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894,Universal Music Group,0.698,0.769,0.354,121.02,0.5,2022
2666,3KyKxJ4P3pVCgaZwaq2rUC,Gasoline,2022-01-06,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894,Universal Music Group,0.728,0.741,0.31,123.006,0.5,2022
2667,0mL82sxCRjrs3br407IdJh,Is There Someone Else?,2022-01-06,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894,Universal Music Group,0.702,0.586,0.608,134.951,1.0,2022
2668,2SLwbpExuoBDZBpjfefCtV,Out of Time,2022-01-06,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894,Universal Music Group,0.65,0.76,0.838,93.057,1.0,2022
2669,2Ghp894n1laIf2w98VeAOJ,How Do I Make You Love Me?,2022-01-06,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894,Universal Music Group,0.805,0.498,0.636,121.006,1.0,2022
2670,2D4dV2KXDTszzJ3p3cFqhA,Less Than Zero,2022-01-06,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894,Universal Music Group,0.535,0.791,0.5,142.981,1.0,2022
2671,1E5Xu8dur0fAjSP1VpVhAZ,Best Friends,2022-01-06,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894,Universal Music Group,0.737,0.564,0.528,90.0,1.0,2022
2672,6zzdyvVWjGrQBraSvuqJPY,Starry Eyes,2022-01-06,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894,Universal Music Group,0.309,0.418,0.146,134.23,0.5,2022
2673,6a4GH1gljLL7VvmO9u5O92,Don’t Break My Heart,2022-01-06,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894,Universal Music Group,0.767,0.618,0.243,121.959,0.5,2022
2674,3vJcz8exedHCjQ9ed95NqU,Every Angel is Terrifying,2022-01-06,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894,Universal Music Group,0.447,0.959,0.46,118.167,0.0,2022
2675,3a94TbZOxhkI9xuNwYL53b,Black Summer,2022-02-04,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,84,21435991,Sony Music Entertainment,0.417,0.682,0.351,105.542,0.0,2022
2676,6N1K5OVVCopBjGViHs2IvP,The Joker And The Queen (feat. Taylor Swift),2022-02-11,06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,123544806,Universal Music Group,0.528,0.309,0.307,133.83,0.5,2022
2677,6N1K5OVVCopBjGViHs2IvP,The Joker And The Queen (feat. Taylor Swift),2022-02-11,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,89,116502914,Universal Music Group,0.528,0.309,0.307,133.83,0.5,2022
2678,7CAdT0HdiQNlt1C7xk2hep,Stay Alive (Prod. SUGA of BTS),2022-02-11,6HaGTQPmzraVmaVxvz6EUc,Jung Kook,87,16159201,HYBE Corporation,0.512,0.76,0.495,130.096,0.5,2022
2679,6LtHYDgYHRCHoKK3snfr2w,I’m Tired (with Zendaya) - Bonus Track,2022-02-28,2feDdbD5araYcm6JhFHHw7,Labrinth,78,3338283,Concord Music Group,0.375,0.133,0.192,131.721,0.5,2022
2680,5J8AKBaUq1WHrzrm9YWlP3,Leave You Alone,2022-03-04,3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,76,5534597,Universal Music Group,0.447,0.538,0.453,123.746,0.5,2022
2681,61BqwgSRTyWH9M4uPjsC3B,"Sorry, Blame It On Me",2022-03-04,0z4gvV4rjIZ9wHck67ucSV,Akon,83,4982696,Universal Music Group,0.716,0.698,0.569,176.012,1.0,2022
2682,4ELynSlkV4OHcBCFenFJ7U,Praise the Lord (feat. Thomas Rhett),2022-03-07,6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,75,4756430,Sony Music Entertainment,0.826,0.603,0.681,107.494,1.0,2022
2683,7qTaDOcld0VmBWXnkbUj45,Broadway Girls (feat. Morgan Wallen),2022-03-10,3hcs9uc56yIGFCSy9leWe7,Lil Durk,82,8067314,Independent,0.659,0.745,0.54,74.967,1.0,2022
2684,7qTaDOcld0VmBWXnkbUj45,Broadway Girls (feat. Morgan Wallen),2022-03-10,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,91,10845945,Independent,0.659,0.745,0.54,74.967,1.0,2022
2685,1DbZAffh8GGwW41Q3AU8iC,Flower Shops (feat. Morgan Wallen),2022-03-11,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,91,10845945,Independent,0.544,0.459,0.231,128.062,0.5,2022
2686,0HqZX76SFLDz2aW8aiqi7G,Bones,2022-03-11,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,89,54853599,Independent,0.773,0.742,0.571,114.071,1.0,2022
2687,6Y46tOTRhkBamosyuWa6YX,LA FAMA,2022-03-18,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894,Universal Music Group,0.766,0.295,0.805,136.016,1.0,2022
