,track_id,track_name,release_date,artist_id,artist_name,popularity,followers,record_label,danceability,energy,instrumentalness,valence,tempo,tempo_adjusted,year
0,5CMVGP24paZIukljDj0iWc,Jingle Bells (with The Ken Lane Singers),1945,1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,79,7480976,Sony Music Entertainment,0.542,0.159,0.0,0.634,137.569,1.0,1945
1,7uyivkbdc8iH8wyBGBhlXV,One More Chance,1979,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,85,32871577,Universal Music Group,0.476,0.596,0.0,0.549,80.74,1.0,1979
2,0u5aO1GYsIhAWCPuXdwnak,Today - 2011 Remaster,1993,40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,75,5332551,Universal Music Group,0.456,0.826,0.57,0.415,82.539,0.0,1993
3,5zmaypMaWb21FUGBxbw8hT,Black Balloon,1998,2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,76,2932785,Universal Music Group,0.339,0.625,0.000102,0.334,104.68,0.0,1998
4,0RZuCBV900eNA2FXCQ3uUM,Broadway,1998,2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,76,2932785,Universal Music Group,0.527,0.878,0.0,0.757,132.791,1.0,1998
5,6Qyc6fS4DsZjB2mRW9DsQs,Iris,1998,2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,76,2932785,Universal Music Group,0.315,0.715,7.97e-06,0.497,155.925,0.5,1998
6,4Do68W4FWO2hRAJCzG1lus,I Turn to You,1999,1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,79,8514927,Sony Music Entertainment,0.599,0.47,0.0,0.298,127.177,0.5,1999
7,7A0apkTSTvMbSI7yplcmlh,Come on over Baby (All I Want Is You) - Radio Version,1999,1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,79,8514927,Sony Music Entertainment,0.829,0.915,1.25e-05,0.779,118.903,1.0,1999
8,3K4HG9evC7dg3N0R9cYqk4,One Step Closer,2000,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,92,27123544,Independent,0.492,0.969,1.32e-06,0.538,95.136,1.0,2000
9,57BrRMwf9LrcmuOsyGilwr,Crawling,2000,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,92,27123544,Independent,0.58,0.702,3.2e-06,0.299,105.076,0.0,2000
10,60a0Rd6pjrkxjPbaKzXjfq,In the End,2000,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,92,27123544,Independent,0.556,0.864,0.0,0.4,105.143,0.0,2000
11,61kG6g3btiapbSVEj3D0Hb,You Gets No Love (feat. P. Diddy & Loon),2001,59wfkuBoNyhDMQGCljbUbA,Diddy,75,1777008,Sony Music Entertainment,0.749,0.677,0.0,0.917,96.872,1.0,2001
